
48,40234,3527.6135
49,39378,12.353017
50,38522,7990.418
51,37666,9213.323
52,36810,8908.972
53,35954,9125.337
54,35098,3050.9788
55,34242,3029.6306
56,33386,42.68697
57,32530,3783.3916
58,31674,4802.7163
59,30818,5926.9634
60,29962,5201.3574
61,29106,64.32383
62,28250,2390.3445
63,27394,15.799846
64,26538,10523.492
65,25682,9071.519
66,24826,8556.685
67,23970,7888.213
68,23114,8122.737
69,22258,3393.2556
70,21402,-12.344279
71,20546,5053.0312
72,19690,5156.6436
73,18834,4944.5215
74,17978,4831.8906
75,17122,5391.4717
76,16266,3552.554
77,15410,-16.50415
78,14554,8565.461
79,13698,9348.447
80,12842,8607.027
81,11986,7879.6772
82,11130,7879.202
83,10274,4338.0244
84,9418,-14.600795
85,8562,6267.487
86,7706,5202.1587
87,6850,5231.1895
88,5994,4786.2886
89,5138,6426.0376
90,4282,4679.3584
91,3426,-9.863448
92,2570,10864.995
93,1714,9348.447
94,858,8607.027
95,2,7879.6772
